Datum,EXV9_ETF_Kurs_return_1d,EXV9_ETF_Kurs_return_5d,DAX_Kurs_return_1d,DAX_Kurs_return_5d,VIX_Kurs_return_1d,VIX_Kurs_return_5d,BrentOil_Kurs_return_1d,BrentOil_Kurs_return_5d,WTIOil_Kurs_return_1d,WTIOil_Kurs_return_5d,EUR_USD_Kurs_return_1d,EUR_USD_Kurs_return_5d,EUR_CHF_Kurs_return_1d,EUR_CHF_Kurs_return_5d,EUR_GPB_Kurs_return_1d,EUR_GPB_Kurs_return_5d,EUR_TRY_Kurs_return_1d,EUR_TRY_Kurs_return_5d,Lufthansa_Kurs_return_1d,Lufthansa_Kurs_return_5d,Ryanair_Kurs_return_1d,Ryanair_Kurs_return_5d,EasyJet_Kurs_return_1d,EasyJet_Kurs_return_5d,Air France-KLM_Kurs_return_1d,Air France-KLM_Kurs_return_5d,Booking_Kurs_return_1d,Booking_Kurs_return_5d,Expedia_Kurs_return_1d,Expedia_Kurs_return_5d,Uber_Kurs_return_1d,Uber_Kurs_return_5d,Airbnb_Kurs_return_1d,Airbnb_Kurs_return_5d,PrimeEnergyOil_Gas_Kurs_return_1d,PrimeEnergyOil_Gas_Kurs_return_5d,Marriott_Hotels_Kurs_return_1d,Marriott_Hotels_Kurs_return_5d,Hilton_Hotels_Kurs_return_1d,Hilton_Hotels_Kurs_return_5d
2023-10-05,1.5277311489842793,-1.472646262846733,-0.19669107827170462,-1.652887874424902,-0.4843926423974687,6.632062332240762,-2.0277332633431233,-11.857829612370264,-2.267874180034868,-10.24970190788107,0.33202797285585284,0.016805694736188315,-0.10682719821331066,-0.4279930289228684,-0.12807103482674886,-0.001156810162084021,0.3853610074731728,0.8611115840053474,1.828763090310126,-2.377474180842587,1.3397035262252999,-0.7425531949378672,3.764199642203603,4.831375379888159,3.7480723104829528,2.1054405298426504,-0.9095878267916024,-2.77213566663278,-0.27948525491493514,-2.612600782070984,-0.734308025014685,-3.3159921966538497,-1.8993844508141566,-8.41210760917912,-0.6115637378050875,-2.7069322067219126,-0.025684235675371703,-2.395398739855381,-0.7748196042343447,-2.498827438899598
2023-10-06,0.9695162965659421,-0.21955078777304848,1.0587092131528753,-1.0191384055378006,-5.624656684978524,-0.3995416266852847,0.6066398692539332,-11.2579960155204,0.5831653154793282,-8.811543032633452,0.376515917344844,-0.14976706537586093,-0.06333190814883372,-0.3787981134675822,-0.03697015243766533,-0.011557401127570976,0.5204157233578144,0.3073135411982397,0.7210863303334314,-1.3722426838370216,0.3894241397040199,0.7715373992435381,2.5096927909016298,5.148607129294702,2.853849248816265,4.80753500513027,1.0163125828706487,-1.1190171587305175,0.5805855818450834,-2.5128459653960267,2.62272618905508,-0.45662729181469297,1.0960899031899007,-7.907590971948453,1.3376262634076763,-1.148215702238864,0.6212437708773111,-0.29508462399162605,1.041173589639044,0.8057012213555925
2023-10-09,-2.5705065595579057,-2.2282183135121425,-0.6675030733649945,-0.7811239543505155,1.432664693808805,0.5110741026038701,4.2208555421353156,-2.822177912503099,4.336268025354406,-2.7471317831454956,0.19761152623509748,0.021133357238611872,-0.2233626107547737,-0.688676590358106,-0.07280351104558269,-0.19506787127653302,0.46913768762162356,0.8274537930802017,-4.282041648034685,-5.013393853845038,-2.153943218050458,-0.7763990363208517,-5.853543132524031,-2.151284242426721,-8.484366815713662,-4.454123667219411,-1.3025431583955194,-2.7164493176876747,-0.8061338988805677,-2.332179863226036,-0.7208344804645606,-0.5035016214968491,1.1158563041343772,-6.436731892702197,-0.79196367764367,-1.9054934276307667,-0.7908993749361382,0.3509517860613931,-1.1295596769380967,0.3082480049135139
2023-10-10,3.967734234520348,3.0264436852802,1.9527169806570654,2.2426573523904425,-3.7853110023407632,-13.902931772174643,-0.5672149646568148,-3.5965647920385924,-0.474642331270303,-3.6534820280012315,0.10790061501657622,0.9362262411776623,-0.323819155780114,-0.4854584291715369,-0.13069234474708535,-0.3703542224438694,0.3552503276019747,1.9560557359680208,2.8930195007508708,0.607143321036796,2.764738562094915,2.5934829184501407,4.018911607997788,4.488241631844225,5.573086661604143,3.327620011653476,1.683888429383007,1.647752427027127,1.8260153973735926,2.7538820149605403,2.5962602538347257,4.7629809627658615,2.9897470417062255,3.021993955617863,1.3304763521884144,2.2281903674797876,2.0727477060939137,4.238692958072732,2.2648713467424697,4.292467174909254
2023-10-11,-0.5430609211109938,3.2759194141949166,0.2365882462888269,2.3847135985691104,-5.519674081955506,-13.401505819928406,-2.087851453732581,0.011656143240923456,-2.8847310942416993,-0.8667814608795621,0.24497971874435365,1.2651622654671124,0.20369434230327332,-0.513383783184973,-0.08106226353532531,-0.44882285437003455,0.31853168887434613,2.0654140100829332,0.04115734299239282,1.052931284922476,-1.6548181553286523,0.6023510099153251,-0.7272692194571717,3.4090924699163416,0.49800352150246585,3.6111581038773988,0.3773971833739731,0.8363655591660191,2.0888897277494767,3.423854358336187,0.021441821368606284,3.782823353112219,-1.2082957535828998,2.0328045392411065,0.18383921940472447,1.435784679864982,-0.0957547516736934,1.770845651248898,0.4050362938697205,1.7814705088688987
2023-10-12,-0.8885633962150585,0.8180191153615235,-0.22625789192757262,2.354382041620906,3.729026574143468,-9.734987881785651,0.2097416753855219,2.2957063306550785,-0.6946870481498002,0.7289589616237047,0.18379162458757037,1.1155472505579134,-0.21266291626009792,-0.6187887590009322,-0.03940346306978704,-0.3604400501675764,0.0018351899554458484,1.6754694907263001,-2.083912861104076,-2.8299340476139356,-2.405289348095374,-3.1153931176322924,-6.982606348578946,-7.3009352495581386,-0.1156255301800746,-0.24744089386125045,-0.747080422188795,1.0017363119685818,-0.9555027118710258,2.722731513246135,-1.4794138845167448,3.003811105702936,-3.0999990609975936,0.7840654241803691,-2.595029956374739,-0.5885398777309314,-0.23704124749936994,1.5556905720347958,-0.4489590835312418,2.1157260158446434
2023-10-13,-2.2337984658949983,-2.3804893137146066,-1.5453461870864715,-0.2830599301686276,15.757933352966802,10.716325788685888,5.686045801916784,7.460389479770568,5.765285934345443,5.918590979215588,-0.8239741642275256,-0.09378154968670005,-0.07626101704562016,-0.6316460067655738,0.26435052885656063,-0.06009441104756208,-0.6141807648386677,0.527835651473274,-0.4340483847424137,-3.9443433588845056,-3.1521033580538482,-6.533278042501223,-3.71646732684221,-12.931224485510096,-1.5875594311640984,-4.554930454047623,-3.2443414498834033,-3.258302924562839,-3.371678741575135,-1.313707374194173,-5.375410619569088,-5.024026427236783,-1.50035672885096,-1.8043674962677336,-1.9106550759595886,-3.7750797912972978,-2.4620950444792844,-1.5562825156177795,-1.973888951875613,-0.9314011054254334
2023-10-16,1.0802291634289807,1.2773664580674415,0.3379945135854934,0.7263291994769938,-10.921328383441054,-2.768370945456511,-1.3642841589794896,1.7016448939704665,-1.174590889064131,0.3241565380813105,-0.14413625107039252,-0.43453546162453005,-0.7193087935294384,-1.125562790704604,0.09829455737915271,0.11102541824445922,-0.8899267841060543,-0.8320228383884243,0.6750104426641368,1.0301974877288567,1.8021004745901736,-2.7542965686154774,0.15337301200115672,-7.375892392043804,1.2098730848790984,5.555554162760945,0.5555687610595994,-1.437010804212957,0.5143302699982755,0.0,2.8288858214948087,-1.6281664819469133,0.8945846179652106,-2.019248860800671,1.7009662672260228,-1.3571105024835939,2.1303116239293374,1.342391784146324,2.547019924402605,2.7525471873004026
2023-10-17,-0.25371960060631693,-2.8348490306488783,0.08990815128357976,-1.1140719290065548,3.8930860658699107,4.991182852902876,0.27886223730608783,2.5670279073933377,0.0,0.8026083885178448,0.311348623330332,-0.23218983922390635,0.07371492860372975,-0.7312262648459855,-0.1709806734205066,0.07063957808417509,1.4742930906040064,0.2737808619858839,-0.6006445140303462,-2.4002156450739998,-0.9870175882089494,-6.304562652529755,-0.30626848516225325,-11.227268456065643,0.5312977935651997,0.5146025834694479,0.4021710196014938,-2.679389524811149,1.8862143033003376,0.059119376999894335,-0.7380854911983814,-4.8252197050420165,0.4153659500963691,-4.468422689457019,0.9441361577990248,-1.7332038011190987,0.23853684261980757,-0.4786948439530536,0.6697253856190688,1.1497943702043045
2023-10-18,-1.3532922806146153,-3.6264102137637755,-1.0279534203784135,-2.3615742480757707,7.494408364001481,19.45307104464615,1.779753556133712,6.6185042243927406,1.9155273050613264,5.785126308106747,0.1776226820302318,-0.299226254122098,0.1378565208348448,-0.7964498062079994,0.4582606415855839,0.6107813097437464,0.539630934947688,0.494781478484807,-3.5413129602516302,-5.895260468033903,-2.6113265500027016,-7.215847483006355,-4.096273476926515,-14.239935763262512,-3.567293301323704,-3.5513656966146945,-4.302979806534591,-7.2172352818574925,-2.5996928338963388,-4.536242992947804,-3.1095111196531633,-7.804458484740717,-2.816005839876412,-6.023078331580523,-2.699089495067908,-4.5609669478334,-1.5746121572279281,-1.9518836836726505,-1.6469895693339898,-0.9174524708594922
