Datum,Inflation_Gesamt,Inflation_Restaurants_Hotels,Inflation_Transport,ECDC_Europa_Inzidenz,CentralEurope_Temp,HolidayDestination_Temp,CentralEurope_Sunshine,HolidayDestination_Sunshine,CentralEurope_Precipitation,HolidayDestination_Precipitation
2023-04-28,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4232642766254576,-0.11836975615330281,0.16473145826500202,-0.36875241608999504,0.9325535961701761,0.14745436880861829,-0.6742370356253431
2023-05-02,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4232642766254576,-0.04556468480931741,0.015002648168695853,0.0173476365604368,0.3384375037017153,-0.7268428513572162,0.4577666490962093
2023-05-03,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4232642766254576,-0.16205279895969388,0.10483993422647976,1.4845278366320775,0.7345148986806892,-0.8361300038779454,-0.4266112295925036
2023-05-04,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4232642766254576,0.08548444360985634,0.13478569624574088,1.2786078085518475,0.6552994196848947,-0.8725590547181885,-0.6388619204777946
2023-05-05,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4232642766254576,0.3330216861794068,0.17970433927463283,0.9954677699415304,0.6552994196848947,-0.18040708875356962,-0.49736145988760055
2023-05-08,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4832719954500831,-0.0018816420029260797,0.17970433927463283,0.6351077208011278,-0.09724763077515572,-0.8725590547181885,-0.249735653854761
2023-05-09,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4832719954500831,0.08548444360985634,0.28451450634204706,0.22326766464066683,0.6552994196848947,1.495329249897613,-0.249735653854761
2023-05-10,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4832719954500831,0.23109458629782711,0.015002648168695853,0.5064077032509838,0.021575587718536706,-0.5811266479962438,0.42239153394866075
2023-05-11,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4832719954500831,0.3330216861794068,-0.10478039990834918,0.4806676997409547,0.9325535961701761,-0.03469088539259722,0.10401549762072418
2023-05-12,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.4832719954500831,0.2602166148354214,-0.2245634479853942,0.35196768219081076,0.6156916801869974,0.5846029788915355,0.7407675702765973
2023-05-15,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.5269139727770834,0.0709234293410593,2.976715906502365e-05,0.22326766464066683,0.6949071591827919,0.3295996230098338,-0.39123611444495504
2023-05-16,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.5269139727770834,-0.04556468480931741,-0.0299159948601961,0.35196768219081076,-0.09724763077515572,0.6210320297317787,1.0945187217520824
2023-05-17,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.5269139727770834,-0.22029685603488225,-0.0448888758698264,0.6093677172910986,0.496868461693305,0.5846029788915355,-0.39123611444495504
2023-05-18,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.5269139727770834,-0.20573584176608523,-0.10478039990834918,0.5321477067610125,0.7345148986806892,-0.9089881055584317,0.5992671096864033
2023-05-19,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.5269139727770834,0.11460647214745065,-0.16467192394687144,0.7895477418613004,0.5364762011912022,-0.8725590547181885,0.7053924551290488
2023-05-22,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.597832185933459,0.9300232712000867,0.08986705321684893,1.5874878506721928,0.18000654571012636,1.058180639814696,0.3162661885060151
2023-05-23,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.597832185933459,0.580558928748957,0.04494841018795698,0.8152877453713291,0.2592220247059209,-0.47183949547551446,1.978896600440795
2023-05-24,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.597832185933459,0.15828951495384172,0.11981281523611005,0.8152877453713291,1.2890232516512525,-0.8361300038779454,0.28089107335846675
2023-05-25,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.597832185933459,0.3330216861794068,0.0748941722072181,1.5874878506721928,-0.05763989127725848,-0.9089881055584317,3.146275400309896
2023-05-26,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.597832185933459,0.4203877717921892,0.14975857725537117,1.8706278892825092,0.5760839406891002,-0.9089881055584317,0.5638919945388547
