Datum,EXV9_ETF_Kurs,DAX_Kurs,VIX_Kurs,BrentOil_Kurs,WTIOil_Kurs,EUR_USD_Kurs,EUR_CHF_Kurs,EUR_GPB_Kurs,EUR_TRY_Kurs,Lufthansa_Kurs,Ryanair_Kurs,EasyJet_Kurs,Air France-KLM_Kurs,Booking_Kurs,Expedia_Kurs,Uber_Kurs,Airbnb_Kurs,PrimeEnergyOil_Gas_Kurs,Marriott_Hotels_Kurs,Hilton_Hotels_Kurs,AWAY-ETF_Kurs,Article Count,All Articles,News_Sentiment,Mallorca,wellness,airbnb,hotel,camping,vacation_christmas_block,vacation_easter_block,vacation_summer_wave,vacation_autumn_wave,vacation_winter_ski_wave,holiday
2023-09-05,20.03225898742676,15771.7099609375,14.010000228881836,90.04000091552734,86.69000244140625,1.0794472694396973,0.9547799825668336,0.8548700213432312,28.848970413208008,7.241339683532715,37.82576370239258,435.1421508789063,13.9399995803833,123.47887420654295,108.86959838867188,46.54999923706055,142.2899932861328,39.90880584716797,195.8626251220703,147.5575408935547,17.895071029663086,,,,4.0,3.0,9.0,77.0,10.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-06,19.825742721557617,15741.3701171875,14.449999809265137,90.5999984741211,87.54000091552734,1.0726161003112793,0.9538400173187256,0.8531200289726257,28.532129287719727,7.081843852996826,37.18991088867188,420.7507019042969,13.473999977111816,123.34418487548828,107.08177947998048,45.900001525878906,141.77000427246094,39.770164489746094,197.21685791015625,148.17323303222656,17.576047897338867,,,,4.0,3.0,9.0,77.0,10.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-07,19.78819274902344,15718.66015625,14.399999618530272,89.91999816894531,86.87000274658203,1.0724204778671265,0.9558699727058412,0.8579699993133545,28.66840934753418,7.087977886199951,36.737918853759766,426.647216796875,13.326000213623049,121.86149597167967,104.4642333984375,46.27000045776367,143.27000427246094,39.33443832397461,194.732421875,147.33905029296875,17.42251968383789,,,,4.0,3.0,9.0,77.0,10.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-08,20.027563095092773,15740.2998046875,13.84000015258789,90.6500015258789,87.51000213623047,1.0697818994522097,0.9549400210380554,0.857450008392334,28.690689086914062,7.072202682495117,36.79154968261719,431.2444763183594,13.15999984741211,123.41840362548828,108.45475006103516,47.2400016784668,145.82000732421875,39.393856048583984,200.1689910888672,153.05941772460938,17.446447372436523,,,,4.0,3.0,9.0,77.0,10.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-11,20.027563095092773,15800.990234375,13.800000190734863,90.63999938964844,87.29000091552734,1.071811318397522,0.95592999458313,0.8580700159072876,28.562129974365234,7.171231269836426,37.54997634887695,440.8387756347656,13.236000061035156,124.97257232666016,107.1607894897461,48.93999862670898,147.3300018310547,39.55229949951172,198.9121551513672,153.67510986328125,17.53617286682129,,,,3.0,3.0,8.0,74.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-12,20.03225898742676,15715.5302734375,14.229999542236328,92.05999755859376,88.83999633789062,1.0750375986099243,0.9578499794006348,0.8591899871826172,28.874900817871094,7.200150966644287,38.49609756469727,455.4301452636719,13.255999565124512,124.6093521118164,108.30657958984376,47.91999816894531,147.5,39.56220245361328,198.56138610839844,154.6682586669922,17.551124572753906,,,,3.0,3.0,8.0,74.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-13,20.03225898742676,15654.0302734375,13.479999542236328,91.87999725341795,88.5199966430664,1.075326681137085,0.9585199952125548,0.8607000112533569,28.93058967590332,7.121279716491699,37.89854431152344,453.8310852050781,13.052000045776367,122.34014129638672,105.5112533569336,48.15999984741211,144.71499633789062,39.07695770263672,195.0831756591797,152.33444213867188,17.36669158935547,,,,3.0,3.0,8.0,74.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-14,20.271629333496094,15805.2900390625,12.81999969482422,93.6999969482422,90.16000366210938,1.073422074317932,0.958899974822998,0.859279990196228,28.788049697875977,7.035396099090576,37.81810760498047,446.6353454589844,12.89799976348877,125.55684661865234,105.61990356445312,48.31999969482422,144.1199951171875,39.591915130615234,198.96087646484372,155.075439453125,17.546140670776367,,,,3.0,3.0,8.0,74.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-15,20.4687614440918,15893.5302734375,13.789999961853027,93.93000030517578,90.7699966430664,1.0637166500091553,0.9531000256538392,0.8575500249862671,28.63690948486328,7.086225509643555,38.07474136352539,445.4360961914063,12.661999702453612,124.087890625,105.6001434326172,47.52000045776367,142.75,39.47307968139648,197.9378662109375,153.34739685058594,17.546140670776367,,,,3.0,3.0,8.0,74.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-18,20.11204719543457,15727.1201171875,14.0,94.43000030517578,91.4800033569336,1.0668259859085083,0.9567800164222716,0.8604599833488464,28.557430267333984,7.003847599029541,37.88322067260742,433.8429260253906,12.17199993133545,124.01642608642578,104.44448852539062,46.5099983215332,142.5500030517578,39.33238983154297,195.5216217041016,152.30462646484375,17.37666130065918,,,,3.0,3.0,8.0,71.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
