Datum,Mallorca,wellness,airbnb,hotel,camping
2023-03-07,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
2023-03-08,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
2023-03-09,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
2023-03-10,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.5556984012045204
2023-03-13,-0.33566443698973103,0.0,-0.8384589415250354,-0.8108606248891894,-0.5556984012045204
2023-03-14,-0.33566443698973103,0.0,-0.8384589415250354,-0.8108606248891894,-0.5556984012045204
2023-03-15,-0.33566443698973103,0.0,-0.8384589415250354,-0.8108606248891894,-0.5556984012045204
2023-03-16,-0.33566443698973103,0.0,-0.8384589415250354,-0.8108606248891894,-0.5556984012045204
2023-03-17,-0.33566443698973103,0.0,-0.8384589415250354,-0.8108606248891894,-0.5556984012045204
2023-03-20,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.30568382534953487
2023-03-21,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.30568382534953487
2023-03-22,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.30568382534953487
2023-03-23,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.30568382534953487
2023-03-24,-0.33566443698973103,0.0,0.005030753649150371,-0.9468149229956101,-0.30568382534953487
2023-03-27,-0.33566443698973103,0.0,0.005030753649150371,-0.6749063267827687,-0.30568382534953487
2023-03-28,-0.33566443698973103,0.0,0.005030753649150371,-0.6749063267827687,-0.30568382534953487
2023-03-29,-0.33566443698973103,0.0,0.005030753649150371,-0.6749063267827687,-0.30568382534953487
2023-03-30,-0.33566443698973103,0.0,0.005030753649150371,-0.6749063267827687,-0.30568382534953487
2023-03-31,-0.33566443698973103,0.0,0.005030753649150371,-0.6749063267827687,-0.30568382534953487
2023-04-03,-0.33566443698973103,0.0,0.005030753649150371,-1.0827692211020308,-0.05566924949454929
2023-04-04,-0.33566443698973103,0.0,0.005030753649150371,-1.0827692211020308,-0.05566924949454929
2023-04-05,-0.33566443698973103,0.0,0.005030753649150371,-1.0827692211020308,-0.05566924949454929
2023-04-06,-0.33566443698973103,0.0,0.005030753649150371,-1.0827692211020308,-0.05566924949454929
2023-04-11,-0.33566443698973103,0.0,0.005030753649150371,-0.6749063267827687,-0.05566924949454929
