survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2025-W10,ILIconsultationrate,total,2059.3
primary care syndromic,Austria,2025-W09,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W09,ILIconsultationrate,15-64,2928.7
primary care syndromic,Austria,2025-W09,ILIconsultationrate,5-14,3153.7
primary care syndromic,Austria,2025-W09,ILIconsultationrate,65+,1660.1
primary care syndromic,Austria,2025-W09,ILIconsultationrate,total,2547.7
primary care syndromic,Austria,2025-W08,ILIconsultationrate,15-64,3392.8
primary care syndromic,Austria,2025-W08,ILIconsultationrate,65+,2094.6
primary care syndromic,Austria,2025-W08,ILIconsultationrate,total,3240.7
primary care syndromic,Austria,2025-W07,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W07,ILIconsultationrate,15-64,3107.5
primary care syndromic,Austria,2025-W07,ILIconsultationrate,5-14,3672.7
primary care syndromic,Austria,2025-W07,ILIconsultationrate,65+,2263.5
primary care syndromic,Austria,2025-W07,ILIconsultationrate,total,2817.1
primary care syndromic,Austria,2025-W06,ILIconsultationrate,0-4,1623.7
primary care syndromic,Austria,2025-W06,ILIconsultationrate,15-64,2985.9
primary care syndromic,Austria,2025-W06,ILIconsultationrate,5-14,1543.4
primary care syndromic,Austria,2025-W06,ILIconsultationrate,65+,1539.7
primary care syndromic,Austria,2025-W06,ILIconsultationrate,total,2375.8
primary care syndromic,Austria,2025-W05,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W05,ILIconsultationrate,15-64,3379.3
primary care syndromic,Austria,2025-W05,ILIconsultationrate,5-14,3512.5
primary care syndromic,Austria,2025-W05,ILIconsultationrate,65+,1801.0
primary care syndromic,Austria,2025-W05,ILIconsultationrate,total,2843.7
primary care syndromic,Austria,2025-W04,ILIconsultationrate,0-4,2686.8
primary care syndromic,Austria,2025-W04,ILIconsultationrate,15-64,3851.2
primary care syndromic,Austria,2025-W04,ILIconsultationrate,5-14,2554.9
primary care syndromic,Austria,2025-W04,ILIconsultationrate,65+,2736.5
primary care syndromic,Austria,2025-W04,ILIconsultationrate,total,3369.6
primary care syndromic,Austria,2025-W03,ILIconsultationrate,0-4,2407.6
primary care syndromic,Austria,2025-W03,ILIconsultationrate,15-64,3290.1
primary care syndromic,Austria,2025-W03,ILIconsultationrate,5-14,958.0
primary care syndromic,Austria,2025-W03,ILIconsultationrate,65+,1194.6
primary care syndromic,Austria,2025-W03,ILIconsultationrate,total,2453.8
primary care syndromic,Austria,2025-W02,ILIconsultationrate,0-4,951.8
primary care syndromic,Austria,2025-W02,ILIconsultationrate,15-64,3259.2
primary care syndromic,Austria,2025-W02,ILIconsultationrate,5-14,1330.5
primary care syndromic,Austria,2025-W02,ILIconsultationrate,65+,2570.5
primary care syndromic,Austria,2025-W02,ILIconsultationrate,total,2561.5
primary care syndromic,Austria,2025-W01,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2025-W01,ILIconsultationrate,15-64,2689.6
primary care syndromic,Austria,2025-W01,ILIconsultationrate,5-14,2075.0
primary care syndromic,Austria,2025-W01,ILIconsultationrate,65+,1734.1
primary care syndromic,Austria,2025-W01,ILIconsultationrate,total,2308.8
primary care syndromic,Austria,2024-W52,ILIconsultationrate,0-4,0.0
