survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Lithuania,2024-W25,ARIconsultationrate,5-14,1305.4
primary care syndromic,Lithuania,2024-W25,ARIconsultationrate,65+,160.8
primary care syndromic,Lithuania,2024-W25,ARIconsultationrate,total,608.2
primary care syndromic,Lithuania,2024-W24,ARIconsultationrate,0-4,3290.6
primary care syndromic,Lithuania,2024-W24,ARIconsultationrate,15-64,487.9
primary care syndromic,Lithuania,2024-W24,ARIconsultationrate,5-14,1565.7
primary care syndromic,Lithuania,2024-W24,ARIconsultationrate,65+,171.4
primary care syndromic,Lithuania,2024-W24,ARIconsultationrate,total,662.7
primary care syndromic,Lithuania,2024-W23,ARIconsultationrate,0-4,3180.8
primary care syndromic,Lithuania,2024-W23,ARIconsultationrate,15-64,469.7
primary care syndromic,Lithuania,2024-W23,ARIconsultationrate,5-14,1716.2
primary care syndromic,Lithuania,2024-W23,ARIconsultationrate,65+,173.7
primary care syndromic,Lithuania,2024-W23,ARIconsultationrate,total,662.2
primary care syndromic,Lithuania,2024-W22,ARIconsultationrate,0-4,3408.2
primary care syndromic,Lithuania,2024-W22,ARIconsultationrate,15-64,548.0
primary care syndromic,Lithuania,2024-W22,ARIconsultationrate,5-14,1998.9
primary care syndromic,Lithuania,2024-W22,ARIconsultationrate,65+,177.6
primary care syndromic,Lithuania,2024-W22,ARIconsultationrate,total,753.7
primary care syndromic,Lithuania,2024-W21,ARIconsultationrate,0-4,3621.5
primary care syndromic,Lithuania,2024-W21,ARIconsultationrate,15-64,608.3
primary care syndromic,Lithuania,2024-W21,ARIconsultationrate,5-14,2351.7
primary care syndromic,Lithuania,2024-W21,ARIconsultationrate,65+,207.3
primary care syndromic,Lithuania,2024-W21,ARIconsultationrate,total,845.3
primary care syndromic,Lithuania,2024-W20,ARIconsultationrate,0-4,3915.6
primary care syndromic,Lithuania,2024-W20,ARIconsultationrate,15-64,671.2
primary care syndromic,Lithuania,2024-W20,ARIconsultationrate,5-14,2598.4
primary care syndromic,Lithuania,2024-W20,ARIconsultationrate,65+,221.8
primary care syndromic,Lithuania,2024-W20,ARIconsultationrate,total,928.2
primary care syndromic,Lithuania,2024-W19,ARIconsultationrate,0-4,3748.5
primary care syndromic,Lithuania,2024-W19,ARIconsultationrate,15-64,678.5
primary care syndromic,Lithuania,2024-W19,ARIconsultationrate,5-14,2466.9
primary care syndromic,Lithuania,2024-W19,ARIconsultationrate,65+,220.4
primary care syndromic,Lithuania,2024-W19,ARIconsultationrate,total,911.4
primary care syndromic,Lithuania,2024-W18,ARIconsultationrate,0-4,3718.0
primary care syndromic,Lithuania,2024-W18,ARIconsultationrate,15-64,601.7
primary care syndromic,Lithuania,2024-W18,ARIconsultationrate,5-14,2364.4
primary care syndromic,Lithuania,2024-W18,ARIconsultationrate,65+,180.0
primary care syndromic,Lithuania,2024-W18,ARIconsultationrate,total,841.3
primary care syndromic,Lithuania,2024-W17,ARIconsultationrate,0-4,4232.4
primary care syndromic,Lithuania,2024-W17,ARIconsultationrate,15-64,755.2
primary care syndromic,Lithuania,2024-W17,ARIconsultationrate,5-14,2806.0
primary care syndromic,Lithuania,2024-W17,ARIconsultationrate,65+,221.3
primary care syndromic,Lithuania,2024-W17,ARIconsultationrate,total,1018.6
primary care syndromic,Lithuania,2024-W16,ARIconsultationrate,0-4,3977.5
primary care syndromic,Lithuania,2024-W16,ARIconsultationrate,15-64,705.2
primary care syndromic,Lithuania,2024-W16,ARIconsultationrate,5-14,2338.7
primary care syndromic,Lithuania,2024-W16,ARIconsultationrate,65+,228.1
primary care syndromic,Lithuania,2024-W16,ARIconsultationrate,total,927.1
primary care syndromic,Lithuania,2024-W15,ARIconsultationrate,0-4,3961.1
primary care syndromic,Lithuania,2024-W15,ARIconsultationrate,15-64,729.3
primary care syndromic,Lithuania,2024-W15,ARIconsultationrate,5-14,2072.7
primary care syndromic,Lithuania,2024-W15,ARIconsultationrate,65+,255.2
primary care syndromic,Lithuania,2024-W15,ARIconsultationrate,total,919.5
primary care syndromic,Lithuania,2024-W14,ARIconsultationrate,0-4,3580.7
primary care syndromic,Lithuania,2024-W14,ARIconsultationrate,15-64,642.1
primary care syndromic,Lithuania,2024-W14,ARIconsultationrate,5-14,1723.9
primary care syndromic,Lithuania,2024-W14,ARIconsultationrate,65+,206.8
primary care syndromic,Lithuania,2024-W14,ARIconsultationrate,total,799.6
primary care syndromic,Lithuania,2024-W13,ARIconsultationrate,0-4,4822.9
primary care syndromic,Lithuania,2024-W13,ARIconsultationrate,15-64,860.5
primary care syndromic,Lithuania,2024-W13,ARIconsultationrate,5-14,3446.8
primary care syndromic,Lithuania,2024-W13,ARIconsultationrate,65+,274.5
primary care syndromic,Lithuania,2024-W13,ARIconsultationrate,total,1191.3
primary care syndromic,Lithuania,2024-W12,ARIconsultationrate,0-4,4554.7
primary care syndromic,Lithuania,2024-W12,ARIconsultationrate,15-64,890.0
primary care syndromic,Lithuania,2024-W12,ARIconsultationrate,5-14,3452.1
primary care syndromic,Lithuania,2024-W12,ARIconsultationrate,65+,285.3
primary care syndromic,Lithuania,2024-W12,ARIconsultationrate,total,1201.2
primary care syndromic,Lithuania,2024-W11,ARIconsultationrate,0-4,3964.2
primary care syndromic,Lithuania,2024-W11,ARIconsultationrate,15-64,733.9
primary care syndromic,Lithuania,2024-W11,ARIconsultationrate,5-14,2715.9
primary care syndromic,Lithuania,2024-W11,ARIconsultationrate,65+,232.7
primary care syndromic,Lithuania,2024-W11,ARIconsultationrate,total,985.6
primary care syndromic,Lithuania,2024-W10,ARIconsultationrate,0-4,4463.0
primary care syndromic,Lithuania,2024-W10,ARIconsultationrate,15-64,819.3
primary care syndromic,Lithuania,2024-W10,ARIconsultationrate,5-14,2663.8
primary care syndromic,Lithuania,2024-W10,ARIconsultationrate,65+,264.1
primary care syndromic,Lithuania,2024-W10,ARIconsultationrate,total,1064.3
primary care syndromic,Lithuania,2024-W09,ARIconsultationrate,0-4,4677.1
primary care syndromic,Lithuania,2024-W09,ARIconsultationrate,15-64,917.5
primary care syndromic,Lithuania,2024-W09,ARIconsultationrate,5-14,2485.2
primary care syndromic,Lithuania,2024-W09,ARIconsultationrate,65+,309.3
primary care syndromic,Lithuania,2024-W09,ARIconsultationrate,total,1128.0
primary care syndromic,Lithuania,2024-W08,ARIconsultationrate,0-4,5170.3
primary care syndromic,Lithuania,2024-W08,ARIconsultationrate,15-64,978.3
primary care syndromic,Lithuania,2024-W08,ARIconsultationrate,5-14,2802.3
primary care syndromic,Lithuania,2024-W08,ARIconsultationrate,65+,318.0
primary care syndromic,Lithuania,2024-W08,ARIconsultationrate,total,1224.6
primary care syndromic,Lithuania,2024-W07,ARIconsultationrate,0-4,4700.6
primary care syndromic,Lithuania,2024-W07,ARIconsultationrate,15-64,928.4
primary care syndromic,Lithuania,2024-W07,ARIconsultationrate,5-14,3675.4
primary care syndromic,Lithuania,2024-W07,ARIconsultationrate,65+,264.1
primary care syndromic,Lithuania,2024-W07,ARIconsultationrate,total,1251.9
primary care syndromic,Lithuania,2024-W06,ARIconsultationrate,0-4,5562.4
primary care syndromic,Lithuania,2024-W06,ARIconsultationrate,15-64,1136.3
primary care syndromic,Lithuania,2024-W06,ARIconsultationrate,5-14,5001.8
primary care syndromic,Lithuania,2024-W06,ARIconsultationrate,65+,332.5
primary care syndromic,Lithuania,2024-W06,ARIconsultationrate,total,1578.4
primary care syndromic,Lithuania,2024-W05,ARIconsultationrate,0-4,5385.2
primary care syndromic,Lithuania,2024-W05,ARIconsultationrate,15-64,1083.1
primary care syndromic,Lithuania,2024-W05,ARIconsultationrate,5-14,5085.3
primary care syndromic,Lithuania,2024-W05,ARIconsultationrate,65+,314.3
primary care syndromic,Lithuania,2024-W05,ARIconsultationrate,total,1541.0
primary care syndromic,Lithuania,2024-W04,ARIconsultationrate,0-4,5002.5
primary care syndromic,Lithuania,2024-W04,ARIconsultationrate,15-64,1035.2
primary care syndromic,Lithuania,2024-W04,ARIconsultationrate,5-14,4249.8
primary care syndromic,Lithuania,2024-W04,ARIconsultationrate,65+,306.6
primary care syndromic,Lithuania,2024-W04,ARIconsultationrate,total,1403.6
primary care syndromic,Lithuania,2024-W03,ARIconsultationrate,0-4,4364.9
primary care syndromic,Lithuania,2024-W03,ARIconsultationrate,15-64,941.4
primary care syndromic,Lithuania,2024-W03,ARIconsultationrate,5-14,2832.0
primary care syndromic,Lithuania,2024-W03,ARIconsultationrate,65+,318.2
primary care syndromic,Lithuania,2024-W03,ARIconsultationrate,total,1167.7
primary care syndromic,Lithuania,2024-W02,ARIconsultationrate,0-4,3721.9
primary care syndromic,Lithuania,2024-W02,ARIconsultationrate,15-64,1001.7
primary care syndromic,Lithuania,2024-W02,ARIconsultationrate,5-14,1948.9
primary care syndromic,Lithuania,2024-W02,ARIconsultationrate,65+,332.7
primary care syndromic,Lithuania,2024-W02,ARIconsultationrate,total,1088.6
primary care syndromic,Lithuania,2024-W01,ARIconsultationrate,0-4,3465.4
primary care syndromic,Lithuania,2024-W01,ARIconsultationrate,15-64,869.4
primary care syndromic,Lithuania,2024-W01,ARIconsultationrate,5-14,1591.7
primary care syndromic,Lithuania,2024-W01,ARIconsultationrate,65+,303.8
primary care syndromic,Lithuania,2024-W01,ARIconsultationrate,total,947.9
primary care syndromic,Lithuania,2023-W52,ARIconsultationrate,0-4,4098.3
primary care syndromic,Lithuania,2023-W52,ARIconsultationrate,15-64,587.7
primary care syndromic,Lithuania,2023-W52,ARIconsultationrate,5-14,1386.1
primary care syndromic,Lithuania,2023-W52,ARIconsultationrate,65+,195.9
primary care syndromic,Lithuania,2023-W52,ARIconsultationrate,total,749.7
primary care syndromic,Lithuania,2023-W51,ARIconsultationrate,0-4,6046.3
primary care syndromic,Lithuania,2023-W51,ARIconsultationrate,15-64,1047.5
primary care syndromic,Lithuania,2023-W51,ARIconsultationrate,5-14,3148.1
primary care syndromic,Lithuania,2023-W51,ARIconsultationrate,65+,338.1
primary care syndromic,Lithuania,2023-W51,ARIconsultationrate,total,1348.9
primary care syndromic,Lithuania,2023-W50,ARIconsultationrate,0-4,5882.4
primary care syndromic,Lithuania,2023-W50,ARIconsultationrate,15-64,1176.7
primary care syndromic,Lithuania,2023-W50,ARIconsultationrate,5-14,3642.4
primary care syndromic,Lithuania,2023-W50,ARIconsultationrate,65+,318.7
primary care syndromic,Lithuania,2023-W50,ARIconsultationrate,total,1473.6
primary care syndromic,Lithuania,2023-W49,ARIconsultationrate,0-4,5920.0
primary care syndromic,Lithuania,2023-W49,ARIconsultationrate,15-64,1128.0
primary care syndromic,Lithuania,2023-W49,ARIconsultationrate,5-14,3536.6
primary care syndromic,Lithuania,2023-W49,ARIconsultationrate,65+,314.2
primary care syndromic,Lithuania,2023-W49,ARIconsultationrate,total,1431.6
primary care syndromic,Lithuania,2023-W48,ARIconsultationrate,0-4,5857.3
primary care syndromic,Lithuania,2023-W48,ARIconsultationrate,15-64,1052.1
primary care syndromic,Lithuania,2023-W48,ARIconsultationrate,5-14,3381.7
primary care syndromic,Lithuania,2023-W48,ARIconsultationrate,65+,290.9
primary care syndromic,Lithuania,2023-W48,ARIconsultationrate,total,1358.5
primary care syndromic,Lithuania,2023-W47,ARIconsultationrate,0-4,5701.2
primary care syndromic,Lithuania,2023-W47,ARIconsultationrate,15-64,907.5
primary care syndromic,Lithuania,2023-W47,ARIconsultationrate,5-14,2954.8
primary care syndromic,Lithuania,2023-W47,ARIconsultationrate,65+,252.2
primary care syndromic,Lithuania,2023-W47,ARIconsultationrate,total,1205.0
primary care syndromic,Lithuania,2023-W46,ARIconsultationrate,0-4,4924.9
primary care syndromic,Lithuania,2023-W46,ARIconsultationrate,15-64,811.9
primary care syndromic,Lithuania,2023-W46,ARIconsultationrate,5-14,2257.3
primary care syndromic,Lithuania,2023-W46,ARIconsultationrate,65+,247.2
primary care syndromic,Lithuania,2023-W46,ARIconsultationrate,total,1034.0
primary care syndromic,Lithuania,2023-W45,ARIconsultationrate,0-4,4551.6
primary care syndromic,Lithuania,2023-W45,ARIconsultationrate,15-64,758.1
primary care syndromic,Lithuania,2023-W45,ARIconsultationrate,5-14,1708.9
primary care syndromic,Lithuania,2023-W45,ARIconsultationrate,65+,257.8
primary care syndromic,Lithuania,2023-W45,ARIconsultationrate,total,927.0
primary care syndromic,Lithuania,2023-W44,ARIconsultationrate,0-4,3692.1
primary care syndromic,Lithuania,2023-W44,ARIconsultationrate,15-64,523.2
primary care syndromic,Lithuania,2023-W44,ARIconsultationrate,5-14,1062.7
primary care syndromic,Lithuania,2023-W44,ARIconsultationrate,65+,161.3
primary care syndromic,Lithuania,2023-W44,ARIconsultationrate,total,648.8
primary care syndromic,Lithuania,2023-W43,ARIconsultationrate,0-4,5444.0
primary care syndromic,Lithuania,2023-W43,ARIconsultationrate,15-64,857.0
primary care syndromic,Lithuania,2023-W43,ARIconsultationrate,5-14,2401.8
primary care syndromic,Lithuania,2023-W43,ARIconsultationrate,65+,227.9
primary care syndromic,Lithuania,2023-W43,ARIconsultationrate,total,1097.8
primary care syndromic,Lithuania,2023-W42,ARIconsultationrate,0-4,5527.9
primary care syndromic,Lithuania,2023-W42,ARIconsultationrate,15-64,836.5
primary care syndromic,Lithuania,2023-W42,ARIconsultationrate,5-14,2344.7
primary care syndromic,Lithuania,2023-W42,ARIconsultationrate,65+,236.9
primary care syndromic,Lithuania,2023-W42,ARIconsultationrate,total,1084.0
primary care syndromic,Lithuania,2023-W41,ARIconsultationrate,0-4,5281.7
primary care syndromic,Lithuania,2023-W41,ARIconsultationrate,15-64,801.3
primary care syndromic,Lithuania,2023-W41,ARIconsultationrate,5-14,2108.7
primary care syndromic,Lithuania,2023-W41,ARIconsultationrate,65+,215.3
primary care syndromic,Lithuania,2023-W41,ARIconsultationrate,total,1021.1
primary care syndromic,Lithuania,2023-W40,ARIconsultationrate,0-4,4577.5
primary care syndromic,Lithuania,2023-W40,ARIconsultationrate,15-64,754.5
primary care syndromic,Lithuania,2023-W40,ARIconsultationrate,5-14,1717.6
primary care syndromic,Lithuania,2023-W40,ARIconsultationrate,65+,204.7
primary care syndromic,Lithuania,2023-W40,ARIconsultationrate,total,916.1
primary care syndromic,Lithuania,2023-W39,ARIconsultationrate,total,1015.7
primary care syndromic,Lithuania,2023-W38,ARIconsultationrate,total,1175.9
primary care syndromic,Lithuania,2023-W37,ARIconsultationrate,total,892.1
primary care syndromic,Lithuania,2023-W36,ARIconsultationrate,total,464.3
primary care syndromic,Lithuania,2023-W35,ARIconsultationrate,total,346.3
primary care syndromic,Lithuania,2023-W34,ARIconsultationrate,total,321.3
primary care syndromic,Lithuania,2023-W33,ARIconsultationrate,total,274.3
primary care syndromic,Lithuania,2023-W32,ARIconsultationrate,total,312.1
primary care syndromic,Lithuania,2023-W31,ARIconsultationrate,total,316.3
primary care syndromic,Lithuania,2023-W30,ARIconsultationrate,total,331.2
primary care syndromic,Lithuania,2023-W28,ARIconsultationrate,total,356.6
primary care syndromic,Lithuania,2023-W27,ARIconsultationrate,total,342.8
primary care syndromic,Lithuania,2023-W26,ARIconsultationrate,total,491.1
primary care syndromic,Lithuania,2023-W25,ARIconsultationrate,total,559.8
primary care syndromic,Lithuania,2023-W24,ARIconsultationrate,total,694.5
primary care syndromic,Lithuania,2023-W23,ARIconsultationrate,total,733.3
primary care syndromic,Lithuania,2023-W22,ARIconsultationrate,total,810.3
primary care syndromic,Lithuania,2023-W21,ARIconsultationrate,total,513.6
primary care syndromic,Lithuania,2023-W20,ARIconsultationrate,total,539.8
primary care syndromic,Lithuania,2023-W19,ARIconsultationrate,total,541.4
primary care syndromic,Lithuania,2023-W18,ARIconsultationrate,total,459.6
primary care syndromic,Lithuania,2023-W17,ARIconsultationrate,total,494.9
primary care syndromic,Lithuania,2023-W16,ARIconsultationrate,total,553.3
primary care syndromic,Lithuania,2023-W15,ARIconsultationrate,total,513.2
primary care syndromic,Lithuania,2023-W14,ARIconsultationrate,total,701.2
primary care syndromic,Lithuania,2023-W13,ARIconsultationrate,total,800.9
primary care syndromic,Lithuania,2023-W12,ARIconsultationrate,total,830.4
primary care syndromic,Lithuania,2023-W11,ARIconsultationrate,total,857.0
primary care syndromic,Lithuania,2023-W10,ARIconsultationrate,total,778.0
primary care syndromic,Lithuania,2023-W09,ARIconsultationrate,total,685.0
primary care syndromic,Lithuania,2023-W08,ARIconsultationrate,total,671.5
primary care syndromic,Lithuania,2023-W07,ARIconsultationrate,total,597.5
primary care syndromic,Lithuania,2023-W06,ARIconsultationrate,total,759.2
primary care syndromic,Lithuania,2023-W05,ARIconsultationrate,total,656.2
primary care syndromic,Lithuania,2023-W04,ARIconsultationrate,total,654.7
primary care syndromic,Lithuania,2023-W03,ARIconsultationrate,total,652.3
primary care syndromic,Lithuania,2023-W02,ARIconsultationrate,total,732.5
primary care syndromic,Lithuania,2023-W01,ARIconsultationrate,total,1047.8
primary care syndromic,Lithuania,2026-W20,ILIconsultationrate,0-4,1.8
primary care syndromic,Lithuania,2026-W20,ILIconsultationrate,15-64,1.8
primary care syndromic,Lithuania,2026-W20,ILIconsultationrate,5-14,2.0
primary care syndromic,Lithuania,2026-W20,ILIconsultationrate,65+,1.2
primary care syndromic,Lithuania,2026-W20,ILIconsultationrate,total,1.7
primary care syndromic,Lithuania,2026-W19,ILIconsultationrate,0-4,3.6
primary care syndromic,Lithuania,2026-W19,ILIconsultationrate,15-64,2.1
primary care syndromic,Lithuania,2026-W19,ILIconsultationrate,5-14,5.4
primary care syndromic,Lithuania,2026-W19,ILIconsultationrate,65+,3.0
primary care syndromic,Lithuania,2026-W19,ILIconsultationrate,total,2.7
primary care syndromic,Lithuania,2026-W18,ILIconsultationrate,0-4,4.4
primary care syndromic,Lithuania,2026-W18,ILIconsultationrate,15-64,3.4
primary care syndromic,Lithuania,2026-W18,ILIconsultationrate,5-14,5.1
primary care syndromic,Lithuania,2026-W18,ILIconsultationrate,65+,1.3
primary care syndromic,Lithuania,2026-W18,ILIconsultationrate,total,3.1
primary care syndromic,Lithuania,2026-W17,ILIconsultationrate,0-4,8.9
primary care syndromic,Lithuania,2026-W17,ILIconsultationrate,15-64,3.4
primary care syndromic,Lithuania,2026-W17,ILIconsultationrate,5-14,6.1
primary care syndromic,Lithuania,2026-W17,ILIconsultationrate,65+,2.0
primary care syndromic,Lithuania,2026-W17,ILIconsultationrate,total,3.6
primary care syndromic,Lithuania,2026-W16,ILIconsultationrate,0-4,8.0
primary care syndromic,Lithuania,2026-W16,ILIconsultationrate,15-64,4.2
primary care syndromic,Lithuania,2026-W16,ILIconsultationrate,5-14,8.5
primary care syndromic,Lithuania,2026-W16,ILIconsultationrate,65+,4.0
primary care syndromic,Lithuania,2026-W16,ILIconsultationrate,total,4.7
primary care syndromic,Lithuania,2026-W15,ILIconsultationrate,0-4,6.2
primary care syndromic,Lithuania,2026-W15,ILIconsultationrate,15-64,4.3
primary care syndromic,Lithuania,2026-W15,ILIconsultationrate,5-14,3.7
primary care syndromic,Lithuania,2026-W15,ILIconsultationrate,65+,4.5
primary care syndromic,Lithuania,2026-W15,ILIconsultationrate,total,4.4
primary care syndromic,Lithuania,2026-W14,ILIconsultationrate,0-4,22.2
primary care syndromic,Lithuania,2026-W14,ILIconsultationrate,15-64,7.8
primary care syndromic,Lithuania,2026-W14,ILIconsultationrate,5-14,6.4
primary care syndromic,Lithuania,2026-W14,ILIconsultationrate,65+,8.6
primary care syndromic,Lithuania,2026-W14,ILIconsultationrate,total,8.4
primary care syndromic,Lithuania,2026-W13,ILIconsultationrate,0-4,33.7
primary care syndromic,Lithuania,2026-W13,ILIconsultationrate,15-64,10.9
primary care syndromic,Lithuania,2026-W13,ILIconsultationrate,5-14,27.4
primary care syndromic,Lithuania,2026-W13,ILIconsultationrate,65+,11.1
primary care syndromic,Lithuania,2026-W13,ILIconsultationrate,total,13.5
primary care syndromic,Lithuania,2026-W12,ILIconsultationrate,0-4,55.9
primary care syndromic,Lithuania,2026-W12,ILIconsultationrate,15-64,14.4
primary care syndromic,Lithuania,2026-W12,ILIconsultationrate,5-14,30.4
primary care syndromic,Lithuania,2026-W12,ILIconsultationrate,65+,14.4
primary care syndromic,Lithuania,2026-W12,ILIconsultationrate,total,17.7
primary care syndromic,Lithuania,2026-W11,ILIconsultationrate,0-4,91.5
primary care syndromic,Lithuania,2026-W11,ILIconsultationrate,15-64,24.4
primary care syndromic,Lithuania,2026-W11,ILIconsultationrate,5-14,63.9
primary care syndromic,Lithuania,2026-W11,ILIconsultationrate,65+,17.1
primary care syndromic,Lithuania,2026-W11,ILIconsultationrate,total,29.5
primary care syndromic,Lithuania,2026-W10,ILIconsultationrate,0-4,184.7
primary care syndromic,Lithuania,2026-W10,ILIconsultationrate,15-64,47.7
primary care syndromic,Lithuania,2026-W10,ILIconsultationrate,5-14,148.8
primary care syndromic,Lithuania,2026-W10,ILIconsultationrate,65+,27.8
primary care syndromic,Lithuania,2026-W10,ILIconsultationrate,total,59.2
primary care syndromic,Lithuania,2026-W09,ILIconsultationrate,0-4,238.9
primary care syndromic,Lithuania,2026-W09,ILIconsultationrate,15-64,75.9
primary care syndromic,Lithuania,2026-W09,ILIconsultationrate,5-14,151.9
primary care syndromic,Lithuania,2026-W09,ILIconsultationrate,65+,41.8
primary care syndromic,Lithuania,2026-W09,ILIconsultationrate,total,82.9
primary care syndromic,Lithuania,2026-W08,ILIconsultationrate,0-4,331.3
primary care syndromic,Lithuania,2026-W08,ILIconsultationrate,15-64,98.6
primary care syndromic,Lithuania,2026-W08,ILIconsultationrate,5-14,233.7
primary care syndromic,Lithuania,2026-W08,ILIconsultationrate,65+,52.2
primary care syndromic,Lithuania,2026-W08,ILIconsultationrate,total,111.8
primary care syndromic,Lithuania,2026-W07,ILIconsultationrate,0-4,693.6
primary care syndromic,Lithuania,2026-W07,ILIconsultationrate,15-64,248.2
primary care syndromic,Lithuania,2026-W07,ILIconsultationrate,5-14,628.1
primary care syndromic,Lithuania,2026-W07,ILIconsultationrate,65+,123.8
primary care syndromic,Lithuania,2026-W07,ILIconsultationrate,total,278.4
primary care syndromic,Lithuania,2026-W06,ILIconsultationrate,0-4,760.2
primary care syndromic,Lithuania,2026-W06,ILIconsultationrate,15-64,269.0
primary care syndromic,Lithuania,2026-W06,ILIconsultationrate,5-14,847.6
primary care syndromic,Lithuania,2026-W06,ILIconsultationrate,65+,124.3
primary care syndromic,Lithuania,2026-W06,ILIconsultationrate,total,317.1
primary care syndromic,Lithuania,2026-W05,ILIconsultationrate,0-4,1010.6
primary care syndromic,Lithuania,2026-W05,ILIconsultationrate,15-64,333.8
primary care syndromic,Lithuania,2026-W05,ILIconsultationrate,5-14,1375.9
primary care syndromic,Lithuania,2026-W05,ILIconsultationrate,65+,139.7
primary care syndromic,Lithuania,2026-W05,ILIconsultationrate,total,426.2
primary care syndromic,Lithuania,2026-W04,ILIconsultationrate,0-4,944.0
primary care syndromic,Lithuania,2026-W04,ILIconsultationrate,15-64,286.2
primary care syndromic,Lithuania,2026-W04,ILIconsultationrate,5-14,1432.7
primary care syndromic,Lithuania,2026-W04,ILIconsultationrate,65+,118.1
primary care syndromic,Lithuania,2026-W04,ILIconsultationrate,total,394.0
primary care syndromic,Lithuania,2026-W03,ILIconsultationrate,0-4,635.9
primary care syndromic,Lithuania,2026-W03,ILIconsultationrate,15-64,194.1
primary care syndromic,Lithuania,2026-W03,ILIconsultationrate,5-14,877.4
primary care syndromic,Lithuania,2026-W03,ILIconsultationrate,65+,74.2
primary care syndromic,Lithuania,2026-W03,ILIconsultationrate,total,256.2
primary care syndromic,Lithuania,2026-W02,ILIconsultationrate,0-4,505.3
primary care syndromic,Lithuania,2026-W02,ILIconsultationrate,15-64,191.3
primary care syndromic,Lithuania,2026-W02,ILIconsultationrate,5-14,396.1
primary care syndromic,Lithuania,2026-W02,ILIconsultationrate,65+,85.0
primary care syndromic,Lithuania,2026-W02,ILIconsultationrate,total,202.3
primary care syndromic,Lithuania,2026-W01,ILIconsultationrate,0-4,1010.6
primary care syndromic,Lithuania,2026-W01,ILIconsultationrate,15-64,259.9
primary care syndromic,Lithuania,2026-W01,ILIconsultationrate,5-14,547.6
primary care syndromic,Lithuania,2026-W01,ILIconsultationrate,65+,124.3
primary care syndromic,Lithuania,2026-W01,ILIconsultationrate,total,290.3
primary care syndromic,Lithuania,2025-W52,ILIconsultationrate,0-4,1413.8
primary care syndromic,Lithuania,2025-W52,ILIconsultationrate,15-64,231.7
primary care syndromic,Lithuania,2025-W52,ILIconsultationrate,5-14,1393.8
primary care syndromic,Lithuania,2025-W52,ILIconsultationrate,65+,83.0
primary care syndromic,Lithuania,2025-W52,ILIconsultationrate,total,365.6
primary care syndromic,Lithuania,2025-W51,ILIconsultationrate,0-4,1678.5
primary care syndromic,Lithuania,2025-W51,ILIconsultationrate,15-64,293.2
primary care syndromic,Lithuania,2025-W51,ILIconsultationrate,5-14,2024.6
primary care syndromic,Lithuania,2025-W51,ILIconsultationrate,65+,75.6
primary care syndromic,Lithuania,2025-W51,ILIconsultationrate,total,478.8
primary care syndromic,Lithuania,2025-W50,ILIconsultationrate,0-4,1254.9
primary care syndromic,Lithuania,2025-W50,ILIconsultationrate,15-64,246.6
primary care syndromic,Lithuania,2025-W50,ILIconsultationrate,5-14,2028.0
primary care syndromic,Lithuania,2025-W50,ILIconsultationrate,65+,53.9
primary care syndromic,Lithuania,2025-W50,ILIconsultationrate,total,427.9
primary care syndromic,Lithuania,2025-W49,ILIconsultationrate,0-4,526.6
primary care syndromic,Lithuania,2025-W49,ILIconsultationrate,15-64,111.1
primary care syndromic,Lithuania,2025-W49,ILIconsultationrate,5-14,1016.4
primary care syndromic,Lithuania,2025-W49,ILIconsultationrate,65+,28.8
primary care syndromic,Lithuania,2025-W49,ILIconsultationrate,total,202.7
primary care syndromic,Lithuania,2025-W48,ILIconsultationrate,0-4,182.1
primary care syndromic,Lithuania,2025-W48,ILIconsultationrate,15-64,39.5
primary care syndromic,Lithuania,2025-W48,ILIconsultationrate,5-14,280.4
primary care syndromic,Lithuania,2025-W48,ILIconsultationrate,65+,8.8
primary care syndromic,Lithuania,2025-W48,ILIconsultationrate,total,63.3
primary care syndromic,Lithuania,2025-W47,ILIconsultationrate,0-4,55.1
primary care syndromic,Lithuania,2025-W47,ILIconsultationrate,15-64,14.3
primary care syndromic,Lithuania,2025-W47,ILIconsultationrate,5-14,70.0
primary care syndromic,Lithuania,2025-W47,ILIconsultationrate,65+,5.3
primary care syndromic,Lithuania,2025-W47,ILIconsultationrate,total,19.7
primary care syndromic,Lithuania,2025-W46,ILIconsultationrate,0-4,32.9
primary care syndromic,Lithuania,2025-W46,ILIconsultationrate,15-64,7.2
primary care syndromic,Lithuania,2025-W46,ILIconsultationrate,5-14,18.3
primary care syndromic,Lithuania,2025-W46,ILIconsultationrate,65+,3.1
primary care syndromic,Lithuania,2025-W46,ILIconsultationrate,total,8.5
primary care syndromic,Lithuania,2025-W45,ILIconsultationrate,0-4,48.0
primary care syndromic,Lithuania,2025-W45,ILIconsultationrate,15-64,10.6
primary care syndromic,Lithuania,2025-W45,ILIconsultationrate,5-14,26.4
primary care syndromic,Lithuania,2025-W45,ILIconsultationrate,65+,5.1
primary care syndromic,Lithuania,2025-W45,ILIconsultationrate,total,12.5
primary care syndromic,Lithuania,2025-W44,ILIconsultationrate,0-4,40.0
primary care syndromic,Lithuania,2025-W44,ILIconsultationrate,15-64,8.9
primary care syndromic,Lithuania,2025-W44,ILIconsultationrate,5-14,30.8
primary care syndromic,Lithuania,2025-W44,ILIconsultationrate,65+,4.0
primary care syndromic,Lithuania,2025-W44,ILIconsultationrate,total,11.3
primary care syndromic,Lithuania,2025-W43,ILIconsultationrate,0-4,25.8
