Datum,EUR_USD_Kurs_return_5d,EUR_CHF_Kurs_return_5d,EUR_GPB_Kurs_return_5d,EUR_TRY_Kurs_return_5d
2023-09-06,-1.4879066594034134,-0.1318788319818182,-1.261024568877144,-0.7103953271455151
2023-09-07,-2.1607487203099778,-0.46381964706816015,-0.2524722569992533,-1.1789744434935723
2023-09-08,-1.5221189675851032,-0.3177656884301696,0.45351436131527006,-0.6890962764024215
2023-09-11,-0.5983866466794808,0.3328383091390603,0.5543695925030592,-0.09272285559580352
2023-09-12,-0.45013331122549205,0.4921699003805044,0.9577905172542154,-0.28441431228364505
2023-09-13,0.30253746877168153,0.717889654639217,1.5965403147768793,0.4131295995526671
2023-09-14,0.12007182513600309,0.4921699003805044,0.352659130127481,-0.10869714365312366
2023-09-15,-0.6325989548611705,-0.18498936239563293,0.11733025735597323,-0.4335076674852995
2023-09-18,-0.5185579275888715,0.18678435050106992,0.5711787977010241,-0.3429867018271522
2023-09-19,-0.5983866466794808,0.2797277787252456,0.9241721068582857,-0.4335076674852995
2023-09-20,-0.7352358794062397,0.05400802446653319,0.31904071973155135,-0.48143053165725996
2023-09-21,-0.8492769066785387,-0.06549066896454989,1.00821813284811,-0.454806718228393
2023-09-22,0.27972926331722175,1.6340463042775202,1.983152034330071,0.14689146526399838
2023-09-25,-0.19924305122643418,1.3286607543980857,1.9159152135382116,0.3758562607522536
2023-09-26,-1.0545507557686769,0.996719939311744,0.8233168756704966,-0.3429867018271522
2023-09-27,-1.179995885768206,1.3817712848119004,1.6973955459646684,-0.3802600406275658
2023-09-28,-1.5677353784940227,1.3684936522084468,0.4367051561173053,-0.4068838540564327
2023-09-29,-1.043146653041447,0.3328383091390603,-0.23566305180128852,-0.15662000782508403
2023-10-02,-0.8720851121329986,0.22661724831143096,-0.5550379505626205,-0.26311526154055154
2023-10-03,-1.179995885768206,-0.4903749122750674,0.03328423136614901,-0.43883243017107293
2023-10-04,-1.0317425503142172,-0.43726438186125277,-0.5382287453646556,-0.3429867018271522
2023-10-05,0.04024310604539377,-0.5036525448785211,0.10052105215800838,0.12559241452090486
2023-10-06,-0.15362664031751458,-0.43726438186125277,0.08371184696004354,-0.1672695331966308
2023-10-09,0.04024310604539377,-0.8488709925683164,-0.23566305180128852,0.10961812646358472
2023-10-10,1.0894205569505448,-0.5833183404992431,-0.5214195401666908,0.7113163099559762
2023-10-11,1.4657559469491317,-0.6098736057061506,-0.6558931817504096,0.7698886994994832
2023-10-12,1.294694406040683,-0.7559275643441409,-0.5046103349687259,0.5622229547543216
2023-10-13,-0.08520202395413518,-0.7692051969475945,-0.0003341790297806711,-0.050124754109616504
2023-10-16,-0.4729415166799519,-1.4330868271202781,0.2854223093356217,-0.7742924793747956
2023-10-17,-0.2448594621353538,-0.9019815229821312,0.2181854885437623,-0.18856858393972428
2023-10-18,-0.32468818122596316,-0.994924951206307,1.1258825692338637,-0.07142380485271002
2023-10-19,-0.9062974203146883,-1.3268657662926489,1.1426917744318286,-0.12999619439621715
2023-10-20,0.5534277287707394,-1.6720842139824446,1.5293034939850199,0.42910388760998724
2023-10-23,0.7587015778608778,-0.45054201446470643,1.0586457484420042,0.9349563427584578
2023-10-24,1.2604820978589935,0.08056328967344054,1.4116390575992661,0.6846924965271093
2023-10-25,0.2569210578627619,-0.6895394013268724,0.688843234086778,0.08831907572049126
2023-10-26,0.32534567422614136,0.1071185548803479,1.109073364035899,0.061695262291624364
2023-10-27,-0.22205125668089398,0.8506659806737537,-0.21885384660332366,-0.17791905856817755
2023-10-30,-0.27907177031704355,1.0763857349324661,0.3694683353254459,-0.10869714365312366
2023-10-31,-0.5641743384977912,1.0631081023290123,0.38627754052341073,-0.2737647869120983
2023-11-01,-0.15362664031751458,2.3510384648640184,0.016475026168184165,-0.06077427948116326
2023-11-02,0.23411285240830215,1.6340463042775202,-0.6727023869483744,0.10429336377781134
2023-11-03,0.610448242406889,1.7933778955189643,0.16775787294986777,0.45040293835308076
2023-11-06,1.8534954396749486,1.7137120998982422,-0.7735576181361634,0.8550849024718573
2023-11-07,1.1578451733139243,0.9436094088979294,-0.7231300025422689,0.5515734293827749
2023-11-08,1.2832903033134533,0.09384092227689421,-0.01714338422774553,0.6154705816120555
2023-11-09,1.3517149196768325,0.6515014916219485,0.6384156184928834,0.6527439204124691
2023-11-10,0.5420236260435095,0.2797277787252456,0.5375603873050944,0.08299431303471788
2023-11-13,-0.42732510577103233,-0.038935403757642525,1.428448262797231,-0.28441431228364505
2023-11-14,-0.1878389484992043,0.1602290852941626,0.7224616444827076,-0.12467143171044377
2023-11-15,1.9561323642200175,0.6913343894323095,0.20137628334579744,0.7911877502425767
2023-11-16,1.556988768766971,0.05400802446653319,0.4871327717111998,0.6900172592128826
2023-11-17,2.013152877856167,0.17350671789761624,0.31904071973155135,0.961580156187325
2023-11-20,2.332467754218604,0.3593935743459677,0.40308674572137554,1.0095030203592852
2023-11-21,2.617570322399352,0.5452804307943191,0.8065076704725318,1.2118440024186734
2023-11-22,0.4393867014984404,-0.3177656884301696,0.016475026168184165,0.2054638548075055
2023-11-23,0.3937702905895208,0.027452759259625842,-0.286090667395183,0.08831907572049126
2023-11-24,0.5648318314979693,0.09384092227689421,-0.706320797344304,0.08299431303471788
2023-11-27,0.37096208513506096,-0.07876830156800355,-1.3450705948669681,0.184164804064412
2023-11-28,0.1428800305904629,-0.42398674925779906,-1.378689005262898,-0.0767485675384834
2023-11-29,0.9297631187693264,0.1602290852941626,-0.7903668233341283,0.2853352950941061
2023-11-30,0.8841467078604067,-0.5169301774819748,-1.3282613896690032,0.3172838712087464
2023-12-01,-0.1308184348630548,-1.5525855205513615,-1.4123074156588276,-0.25779049885477817
2023-12-04,-0.5299620303161015,-2.7210171896552846,-2.1855308547652106,-0.5027295824003535
2023-12-05,-1.2370163994043557,-2.548407965810387,-1.7484915196181245,-0.90741154651913
2023-12-06,-2.1835569257644374,-2.7741277200690995,-1.580399467638476,-1.4079392389818273
2023-12-07,-2.1379405148555177,-2.2563000485344062,-1.2778337740751087,-1.418588764353374
2023-12-08,-1.0317425503142172,-1.0480354816201216,-0.9080312597198822,-0.7210448525170619
2023-12-11,-1.2598246048588155,0.346115941742514,0.3022315145335865,-0.90741154651913
2023-12-12,-0.7352358794062397,0.06728565706998686,0.05009343656411386,-0.625199124173141
2023-12-13,0.07445541422708347,0.14695145269070892,0.5039419769091646,-0.05544951679538988
2023-12-14,1.2832903033134533,0.9436094088979294,1.0754549536399691,0.3439076846376133
2023-12-15,2.150002110582926,1.2755502239842713,0.8569352860664263,0.7272905980132963
2023-12-18,1.3859272278585222,0.29300541132869934,0.5543695925030592,0.2533867189794659
2023-12-19,1.6824338987664997,0.31956067653560666,1.2435470056196178,0.6687182084697891
2023-12-20,1.9447282614927874,0.08056328967344054,0.7728892600766022,0.7272905980132963
2023-12-21,0.6446605505885787,-0.46381964706816015,0.789698465274567,0.2853352950941061
2023-12-22,0.1428800305904629,-1.446364459723732,1.428448262797231,0.003122872748117239
2023-12-27,1.5683928714942008,-0.7559275643441409,1.646967930370774,1.1372973248178462
2023-12-28,1.9447282614927874,-1.526030255344454,0.9073629016603207,1.1692459009324865
2023-12-29,0.9183590160420965,-1.565863153154815,1.4116390575992661,0.6314448696693756
2024-01-02,0.9867836324054757,-2.01730266167224,0.3694683353254459,0.7006667845844294
2024-01-03,-0.6554071603156303,-1.6455289487755371,-0.06757099982164005,0.5249496159539081
2024-01-04,-1.1685917830409762,-2.0438579268791472,-0.9920772857097065,0.0776695503489445
2024-01-05,-1.6361599948574022,-0.6762617687234189,-0.7567484129381986,-0.24714097348323139
2024-01-08,-1.282632810313275,-0.304488055826716,-1.5972086728364407,-0.22051716005436456
